-- https://dbis-uibk.github.io/relax/landing

group: Ejercicio-08

LUGAR_TRABAJO = {
    empleado:number, departamento:number
    7, 1
    2, 2
    5, 3
    19, 2
    11, 3
    14, 3
    4, 2
    3, 3
    12, 1
    4, 1
    14, 2
    8, 3
    11, 3
    8, 1
    2, 3
    11, 1
    13, 2
    10, 3
    4, 2
    1, 1
    21, 3
    18, 1
}

CURSO_EXIGIDO = {
    departamento:number, curso:number
    1, 1
    3, 2
    1, 3
    3, 4
    2, 1
}

CURSO_REALIZADO = {
    empleado:number, curso:number
    3, 1
    14, 4
    17, 4
    19, 3
    19, 2
    18, 3
    8, 3
    2, 4
    9, 4
    1, 4
    6, 3
    16, 3
    14, 2
    14, 1
    18, 4
    19, 3
    7, 2
    10, 1
    18, 1
    18, 2
    4, 2
    1, 2
    10, 2
    13, 1
    1, 3
    21, 1
    21, 2
    21, 3
    21, 4
}

